Designator,Mid X,Mid Y,Layer,Rotation
C1,197.8,-57.6,top,0
C2,197.8,-59.8,top,0
C3,195.25,-71.5,top,0
C4,186.4,-62.5,top,180
C5,183.83,-76.875,top,-90
C6,195.9,-76.825,top,-90
C7,189.38,-76.875,top,-90
C8,177.355,-76.85,top,-90
C9,186.325,-72.9,top,180
C10,189.625,-72.9,top,0
R1,186.18,-77.625,top,180
R2,186.18,-76.125,top,180
R3,198.475,-77.575,top,180
R4,198.475,-76.075,top,180
R5,180.6,-79.2,top,180
R6,192.3,-79.2,top,180
R7,186.5,-65.3,top,180
R8,186.5,-68.2,top,180
R9,183.125,-72.9,top,0
R10,193.2,-73.5,top,180
RV1,181.4,-86,top,0
RV2,193.2,-86,top,0
U1,196.5,-65.65,top,-90
U3,192.625,-76.8,top,0
U4,180.605,-76.8,top,0
